+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                 ;
+---------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|number_writer_pixel_1|mux_11x1_1                       ; 82    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|number_writer_pixel_1|mux_8x1_1                        ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|number_writer_pixel_1                                  ; 1031  ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|t_price                                                ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc12                                             ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc11                                             ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc10                                             ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc9                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc8                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc7                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc6                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc5                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc4                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc3                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc2                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1|num_calc1                                              ; 21    ; 24             ; 0            ; 24             ; 77     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|price_writer_1                                                        ; 290   ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|letter_writer_1|mux_12x1_1                           ; 760   ; 0              ; 0            ; 0              ; 63     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|letter_writer_1|mux_9x1_1                            ; 68    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|letter_writer_1|mux_8x1_1                            ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|letter_writer_1                                      ; 786   ; 4              ; 0            ; 4              ; 12     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_12                                            ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_11                                            ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_10                                            ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_9                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_8                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_7                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_6                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_5                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_4                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_3                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_2                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1|writer_1                                             ; 4     ; 15             ; 0            ; 15             ; 63     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0|text_controller1                                                      ; 78    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|TextController_inst0                                                                       ; 330   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageLocator_inst0|Encoder16x4_inst0|b2v_inst3                 ; 8     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageLocator_inst0|Encoder16x4_inst0|b2v_inst                  ; 8     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageLocator_inst0|Encoder16x4_inst0                           ; 16    ; 3              ; 0            ; 3              ; 5      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageLocator_inst0                                             ; 39    ; 0              ; 0            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageROM_inst0|altsyncram_component|auto_generated|mux2        ; 388   ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageROM_inst0|altsyncram_component|auto_generated|rden_decode ; 4     ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageROM_inst0|altsyncram_component|auto_generated             ; 18    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0|ImageROM_inst0                                                 ; 18    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0|Image_Shape_Submodule_inst0                                                                ; 39    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|PixelController_inst0                                                                                            ; 347   ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|HVSync_Generator_inst0                                                                                           ; 2     ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|VGA_PLL_inst0|vga_pll_inst                                                                                       ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0|VGA_PLL_inst0                                                                                                    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; VGA_Controller_inst0                                                                                                                  ; 327   ; 1              ; 0            ; 1              ; 29     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_CMD3                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_CMD2                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_CMD1                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_CMD0                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_KEY3                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_KEY2                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_KEY1                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonLevelPulseConverter_KEY0                                                                                 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonManager_inst0                                                                                            ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|SwitchDebouncer_SW2                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|SwitchDebouncer_SW1                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|SwitchDebouncer_SW0                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonDebouncer_Key3                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonDebouncer_Key2                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonDebouncer_Key1                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0|ButtonDebouncer_Key0                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ButtonController_inst0                                                                                                                ; 8     ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
